return_id,order_id,return_date,return_reason
RET-5061,ORD-14666,2024-12-16,Wrong Size / Fit
RET-5062,ORD-12542,2025-02-08,Defective Item
RET-5063,ORD-14939,2025-10-05,Changed Mind
RET-5064,ORD-10721,2024-12-30,Item Not as Described
RET-5065,ORD-14464,2025-02-16,Changed Mind
RET-5066,ORD-13426,2024-04-22,Item Not as Described
RET-5067,ORD-14484,2024-01-28,Item Not as Described
RET-5068,ORD-12513,2025-10-01,Defective Item
RET-5069,ORD-14974,2024-12-02,Item Not as Described
RET-5070,ORD-14222,2025-02-19,Item Not as Described
RET-5071,ORD-14019,2025-10-05,Changed Mind
RET-5072,ORD-12244,2025-11-26,Item Not as Described
RET-5073,ORD-14984,2024-12-13,Late Delivery
RET-5074,ORD-11596,2025-04-01,Wrong Size / Fit
RET-5075,ORD-11469,2025-02-20,Late Delivery
RET-5076,ORD-10064,2025-01-04,Wrong Size / Fit
RET-5077,ORD-11729,2024-09-10,Defective Item
RET-5078,ORD-14810,2025-05-06,Item Not as Described
RET-5079,ORD-11160,2024-07-04,Item Not as Described
RET-5080,ORD-11372,2025-05-10,Changed Mind
RET-5081,ORD-13125,2024-12-17,Late Delivery
RET-5082,ORD-14571,2025-06-27,Defective Item
RET-5083,ORD-13328,2025-12-28,Wrong Size / Fit
RET-5084,ORD-14140,2024-03-25,Wrong Size / Fit
RET-5085,ORD-13890,2025-08-21,Late Delivery
RET-5086,ORD-10210,2025-01-31,Defective Item
RET-5087,ORD-11708,2024-11-17,Defective Item
RET-5088,ORD-13887,2024-09-13,Wrong Size / Fit
RET-5089,ORD-13034,2024-11-08,Changed Mind
RET-5090,ORD-13076,2026-01-04,Changed Mind
RET-5091,ORD-14058,2024-06-30,Item Not as Described
RET-5092,ORD-13042,2025-03-25,Item Not as Described
RET-5093,ORD-12370,2025-04-01,Wrong Size / Fit
RET-5094,ORD-12708,2024-08-07,Defective Item
RET-5095,ORD-13999,2024-05-12,Defective Item
RET-5096,ORD-13195,2025-08-22,Late Delivery
RET-5097,ORD-12680,2025-09-20,Wrong Size / Fit
RET-5098,ORD-11769,2024-09-02,Changed Mind
RET-5099,ORD-10035,2024-03-08,Wrong Size / Fit
RET-5100,ORD-14799,2026-01-06,Changed Mind
RET-5101,ORD-11178,2025-11-10,Wrong Size / Fit
RET-5102,ORD-12152,2025-10-26,Late Delivery
RET-5103,ORD-13458,2024-04-14,Wrong Size / Fit
RET-5104,ORD-12378,2025-05-16,Defective Item
RET-5105,ORD-11693,2025-07-19,Late Delivery
RET-5106,ORD-10148,2025-07-29,Defective Item
RET-5107,ORD-14174,2025-10-03,Item Not as Described
RET-5108,ORD-10918,2025-02-14,Wrong Size / Fit
RET-5109,ORD-11836,2025-04-04,Late Delivery
RET-5110,ORD-11060,2024-03-05,Wrong Size / Fit
RET-5111,ORD-11233,2024-10-22,Changed Mind
RET-5112,ORD-11427,2024-11-15,Wrong Size / Fit
RET-5113,ORD-12861,2025-10-02,Late Delivery
RET-5114,ORD-13804,2025-05-25,Item Not as Described
RET-5115,ORD-13064,2025-11-10,Wrong Size / Fit
RET-5116,ORD-10157,2025-04-25,Changed Mind
RET-5117,ORD-12136,2024-05-17,Changed Mind
RET-5118,ORD-10625,2025-06-17,Changed Mind
RET-5119,ORD-11135,2024-11-04,Late Delivery
RET-5120,ORD-11346,2025-11-19,Item Not as Described
RET-5121,ORD-13483,2024-03-25,Defective Item
RET-5122,ORD-13250,2024-07-12,Defective Item
RET-5123,ORD-12529,2025-01-19,Item Not as Described
RET-5124,ORD-11970,2025-03-20,Late Delivery
RET-5125,ORD-13087,2024-09-04,Item Not as Described
RET-5126,ORD-10025,2024-10-16,Wrong Size / Fit
RET-5127,ORD-14732,2024-10-15,Defective Item
RET-5128,ORD-12322,2024-06-29,Changed Mind
RET-5129,ORD-12605,2024-10-28,Defective Item
RET-5130,ORD-13057,2024-04-06,Item Not as Described
RET-5131,ORD-13665,2024-04-13,Wrong Size / Fit
RET-5132,ORD-11919,2026-01-06,Late Delivery
RET-5133,ORD-10807,2025-06-12,Item Not as Described
RET-5134,ORD-12366,2025-03-09,Late Delivery
RET-5135,ORD-14717,2024-05-22,Late Delivery
RET-5136,ORD-11238,2024-10-04,Defective Item
RET-5137,ORD-13486,2025-01-13,Changed Mind
RET-5138,ORD-11460,2024-11-12,Item Not as Described
RET-5139,ORD-11195,2024-04-22,Defective Item
RET-5140,ORD-12090,2024-11-24,Late Delivery
RET-5141,ORD-14059,2025-09-28,Defective Item
RET-5142,ORD-13623,2024-05-03,Defective Item
RET-5143,ORD-13541,2024-02-20,Item Not as Described
RET-5144,ORD-10020,2025-09-12,Changed Mind
RET-5145,ORD-11663,2024-07-14,Late Delivery
RET-5146,ORD-14594,2024-08-25,Late Delivery
RET-5147,ORD-11250,2024-01-31,Item Not as Described
RET-5148,ORD-14149,2025-03-18,Changed Mind
RET-5149,ORD-10489,2024-03-28,Defective Item
RET-5150,ORD-13976,2024-03-22,Changed Mind
RET-5151,ORD-10578,2024-03-23,Changed Mind
RET-5152,ORD-10501,2024-05-11,Changed Mind
RET-5153,ORD-10404,2025-04-25,Changed Mind
RET-5154,ORD-11187,2025-09-01,Late Delivery
RET-5155,ORD-12105,2025-03-11,Item Not as Described
RET-5156,ORD-12612,2025-01-02,Item Not as Described
RET-5157,ORD-14341,2025-03-04,Changed Mind
RET-5158,ORD-14362,2025-08-08,Changed Mind
RET-5159,ORD-12253,2025-07-16,Changed Mind
RET-5160,ORD-10931,2024-06-23,Item Not as Described
RET-5161,ORD-10263,2025-04-10,Late Delivery
RET-5162,ORD-13798,2025-04-14,Late Delivery
RET-5163,ORD-14861,2025-02-20,Defective Item
RET-5164,ORD-11976,2024-10-19,Wrong Size / Fit
RET-5165,ORD-14947,2024-04-07,Item Not as Described
RET-5166,ORD-14990,2025-10-11,Wrong Size / Fit
RET-5167,ORD-13216,2024-03-30,Defective Item
RET-5168,ORD-15071,2025-04-24,Wrong Size / Fit
RET-5169,ORD-14991,2024-12-10,Changed Mind
RET-5170,ORD-12019,2025-02-04,Item Not as Described
RET-5171,ORD-11847,2025-01-02,Item Not as Described
RET-5172,ORD-15073,2024-05-12,Defective Item
RET-5173,ORD-11676,2024-08-13,Changed Mind
RET-5174,ORD-12029,2025-02-13,Item Not as Described
RET-5175,ORD-14175,2025-11-08,Wrong Size / Fit
RET-5176,ORD-11615,2025-07-04,Late Delivery
RET-5177,ORD-11616,2025-07-15,Changed Mind
RET-5178,ORD-14353,2025-12-18,Item Not as Described
RET-5179,ORD-13686,2024-04-28,Defective Item
RET-5180,ORD-13550,2025-08-13,Item Not as Described
RET-5181,ORD-14579,2025-07-21,Wrong Size / Fit
RET-5182,ORD-14232,2025-01-22,Item Not as Described
RET-5183,ORD-11735,2024-05-03,Wrong Size / Fit
RET-5184,ORD-14561,2024-08-09,Wrong Size / Fit
RET-5185,ORD-13294,2024-01-30,Changed Mind
RET-5186,ORD-14311,2024-08-03,Defective Item
RET-5187,ORD-14806,2025-01-10,Defective Item
RET-5188,ORD-14372,2024-08-30,Changed Mind
RET-5189,ORD-11229,2024-09-18,Item Not as Described
RET-5190,ORD-12857,2024-05-14,Wrong Size / Fit
RET-5191,ORD-14235,2025-02-20,Item Not as Described
RET-5192,ORD-11009,2024-03-31,Late Delivery
RET-5193,ORD-13697,2025-08-04,Changed Mind
RET-5194,ORD-11736,2025-01-15,Wrong Size / Fit
RET-5195,ORD-14610,2024-09-19,Late Delivery
RET-5196,ORD-13583,2024-01-17,Changed Mind
RET-5197,ORD-14448,2024-01-30,Defective Item
RET-5198,ORD-10843,2024-05-01,Changed Mind
RET-5199,ORD-13131,2025-07-04,Wrong Size / Fit
RET-5200,ORD-12882,2025-06-23,Item Not as Described
RET-5201,ORD-11486,2025-08-16,Late Delivery
RET-5202,ORD-11167,2025-12-17,Late Delivery
RET-5203,ORD-12059,2024-09-21,Wrong Size / Fit
RET-5204,ORD-12749,2024-11-18,Wrong Size / Fit
RET-5205,ORD-10307,2025-11-22,Item Not as Described
RET-5206,ORD-14649,2024-06-05,Changed Mind
RET-5207,ORD-14992,2025-04-25,Defective Item
RET-5208,ORD-13224,2025-02-17,Changed Mind
RET-5209,ORD-15096,2024-09-26,Changed Mind
RET-5210,ORD-11946,2024-08-22,Defective Item
RET-5211,ORD-13965,2025-05-16,Wrong Size / Fit
RET-5212,ORD-14489,2025-12-17,Changed Mind
RET-5213,ORD-14053,2024-12-19,Late Delivery
RET-5214,ORD-11923,2025-01-14,Changed Mind
RET-5215,ORD-12976,2025-05-14,Changed Mind
RET-5216,ORD-11094,2024-11-30,Changed Mind
RET-5217,ORD-10937,2025-07-26,Changed Mind
RET-5218,ORD-14797,2025-01-04,Late Delivery
RET-5219,ORD-14995,2025-01-29,Defective Item
RET-5220,ORD-14317,2025-09-26,Defective Item
RET-5221,ORD-10206,2024-07-26,Wrong Size / Fit
RET-5222,ORD-13115,2024-03-16,Item Not as Described
RET-5223,ORD-14265,2024-12-27,Item Not as Described
RET-5224,ORD-12110,2024-12-27,Defective Item
RET-5225,ORD-13338,2024-06-04,Defective Item
RET-5226,ORD-10250,2024-02-07,Item Not as Described
RET-5227,ORD-11625,2024-02-01,Item Not as Described
RET-5228,ORD-11721,2025-12-20,Defective Item
RET-5229,ORD-12390,2024-07-08,Wrong Size / Fit
RET-5230,ORD-11453,2025-04-06,Defective Item
RET-5231,ORD-14918,2025-05-06,Wrong Size / Fit
RET-5232,ORD-15105,2024-05-19,Changed Mind
RET-5233,ORD-12901,2024-11-19,Item Not as Described
RET-5234,ORD-10474,2025-10-19,Item Not as Described
RET-5235,ORD-14470,2025-01-08,Defective Item
RET-5236,ORD-13261,2024-11-28,Defective Item
RET-5237,ORD-13831,2024-05-29,Changed Mind
RET-5238,ORD-11265,2025-12-29,Changed Mind
RET-5239,ORD-11267,2025-07-06,Late Delivery
RET-5240,ORD-13375,2024-09-24,Item Not as Described
RET-5241,ORD-13604,2024-10-08,Item Not as Described
RET-5242,ORD-13585,2024-06-11,Wrong Size / Fit
RET-5243,ORD-11525,2024-06-17,Item Not as Described
RET-5244,ORD-14416,2025-09-10,Defective Item
RET-5245,ORD-10725,2024-08-22,Item Not as Described
RET-5246,ORD-10466,2024-07-26,Late Delivery
RET-5247,ORD-13714,2024-02-02,Item Not as Described
RET-5248,ORD-13340,2025-10-21,Defective Item
RET-5249,ORD-13639,2024-04-22,Item Not as Described
RET-5250,ORD-13774,2024-05-22,Item Not as Described
RET-5251,ORD-13671,2024-08-10,Wrong Size / Fit
RET-5252,ORD-14446,2024-06-16,Changed Mind
RET-5253,ORD-13415,2024-05-04,Late Delivery
RET-5254,ORD-13662,2025-11-22,Defective Item
RET-5255,ORD-11890,2024-03-04,Defective Item
RET-5256,ORD-14980,2025-05-06,Item Not as Described
RET-5257,ORD-13983,2024-04-06,Changed Mind
RET-5258,ORD-10619,2025-06-17,Defective Item
RET-5259,ORD-14401,2025-06-01,Late Delivery
RET-5260,ORD-10556,2025-01-08,Changed Mind
RET-5261,ORD-15040,2024-07-25,Late Delivery
RET-5262,ORD-10374,2025-06-21,Changed Mind
RET-5263,ORD-12967,2025-02-26,Defective Item
RET-5264,ORD-14767,2025-06-09,Item Not as Described
RET-5265,ORD-13618,2025-03-22,Defective Item
RET-5266,ORD-12185,2024-03-21,Late Delivery
RET-5267,ORD-13555,2024-04-08,Defective Item
RET-5268,ORD-14142,2024-10-24,Late Delivery
RET-5269,ORD-14750,2024-06-05,Item Not as Described
RET-5270,ORD-14704,2025-05-26,Late Delivery
RET-5271,ORD-11880,2025-09-28,Late Delivery
RET-5272,ORD-11793,2024-04-24,Wrong Size / Fit
RET-5273,ORD-10271,2025-11-05,Late Delivery
RET-5274,ORD-12989,2024-07-09,Changed Mind
RET-5275,ORD-11778,2024-03-28,Late Delivery
RET-5276,ORD-14014,2025-01-29,Changed Mind
RET-5277,ORD-12317,2025-09-08,Late Delivery
RET-5278,ORD-10354,2025-05-04,Late Delivery
RET-5279,ORD-13507,2025-06-12,Wrong Size / Fit
RET-5280,ORD-11296,2025-09-19,Late Delivery
RET-5281,ORD-12115,2025-07-28,Changed Mind
RET-5282,ORD-11153,2024-07-20,Item Not as Described
RET-5283,ORD-13206,2025-06-05,Wrong Size / Fit
RET-5284,ORD-10965,2024-10-22,Wrong Size / Fit
RET-5285,ORD-10456,2025-02-15,Defective Item
RET-5286,ORD-11944,2024-08-16,Late Delivery
RET-5287,ORD-11995,2024-09-26,Changed Mind
RET-5288,ORD-11244,2024-08-25,Item Not as Described
RET-5289,ORD-12309,2024-10-28,Item Not as Described
RET-5290,ORD-14599,2024-03-30,Item Not as Described
RET-5291,ORD-13902,2025-09-03,Wrong Size / Fit
RET-5292,ORD-14115,2025-07-09,Defective Item
RET-5293,ORD-11548,2025-06-13,Defective Item
RET-5294,ORD-13220,2025-06-06,Item Not as Described
RET-5295,ORD-12895,2024-05-21,Defective Item
RET-5296,ORD-10894,2025-09-12,Late Delivery
RET-5297,ORD-14432,2024-05-10,Defective Item
RET-5298,ORD-12261,2025-12-11,Defective Item
RET-5299,ORD-15012,2025-11-04,Changed Mind
RET-5300,ORD-10913,2025-03-03,Wrong Size / Fit
RET-5301,ORD-15083,2025-09-20,Defective Item
RET-5302,ORD-13379,2024-02-02,Changed Mind
RET-5303,ORD-13252,2025-05-27,Changed Mind
RET-5304,ORD-10667,2025-06-04,Wrong Size / Fit
RET-5305,ORD-11745,2025-02-06,Wrong Size / Fit
RET-5306,ORD-14801,2024-11-18,Wrong Size / Fit
RET-5307,ORD-12488,2025-12-08,Wrong Size / Fit
RET-5308,ORD-10176,2025-06-22,Late Delivery
RET-5309,ORD-13308,2025-02-28,Defective Item
RET-5310,ORD-11967,2025-03-15,Wrong Size / Fit
RET-5311,ORD-13012,2024-08-26,Changed Mind
RET-5312,ORD-13905,2025-03-20,Item Not as Described
RET-5313,ORD-11502,2024-03-17,Defective Item
RET-5314,ORD-12183,2025-02-09,Changed Mind
RET-5315,ORD-13860,2024-01-28,Item Not as Described
RET-5316,ORD-13331,2024-04-28,Item Not as Described
RET-5317,ORD-11683,2024-08-01,Wrong Size / Fit
RET-5318,ORD-14961,2025-07-12,Item Not as Described
RET-5319,ORD-14552,2025-09-02,Late Delivery
RET-5320,ORD-12879,2024-05-06,Defective Item
RET-5321,ORD-13931,2024-02-24,Wrong Size / Fit
RET-5322,ORD-11211,2024-05-09,Changed Mind
RET-5323,ORD-13280,2025-05-15,Item Not as Described
RET-5324,ORD-14323,2024-05-08,Defective Item
RET-5325,ORD-12668,2024-04-23,Item Not as Described
RET-5326,ORD-10284,2025-01-25,Late Delivery
RET-5327,ORD-13843,2025-10-06,Item Not as Described
RET-5328,ORD-11149,2024-06-24,Changed Mind
RET-5329,ORD-14570,2025-03-16,Changed Mind
RET-5330,ORD-12471,2025-09-30,Defective Item
RET-5331,ORD-11870,2024-07-31,Late Delivery
RET-5332,ORD-14197,2025-06-28,Changed Mind
RET-5333,ORD-12935,2024-08-08,Changed Mind
RET-5334,ORD-14334,2024-06-14,Defective Item
RET-5335,ORD-10068,2025-02-02,Item Not as Described
RET-5336,ORD-10222,2025-07-15,Item Not as Described
RET-5337,ORD-14790,2024-04-06,Wrong Size / Fit
RET-5338,ORD-15147,2025-12-16,Changed Mind
RET-5339,ORD-14872,2024-09-09,Defective Item
RET-5340,ORD-14220,2025-04-25,Late Delivery
RET-5341,ORD-13543,2026-01-16,Defective Item
RET-5342,ORD-14703,2024-09-05,Wrong Size / Fit
RET-5343,ORD-11324,2025-11-07,Item Not as Described
RET-5344,ORD-12211,2025-12-22,Item Not as Described
RET-5345,ORD-12587,2024-12-18,Defective Item
RET-5346,ORD-10135,2025-01-06,Wrong Size / Fit
RET-5347,ORD-12700,2025-12-15,Item Not as Described
RET-5348,ORD-10533,2025-07-20,Wrong Size / Fit
RET-5349,ORD-12207,2024-11-02,Defective Item
RET-5350,ORD-15102,2025-10-13,Changed Mind
RET-5351,ORD-10236,2024-04-10,Late Delivery
RET-5352,ORD-12566,2025-09-11,Late Delivery
RET-5353,ORD-14157,2025-04-22,Wrong Size / Fit
RET-5354,ORD-13861,2025-06-21,Wrong Size / Fit
RET-5355,ORD-11844,2024-11-30,Item Not as Described
RET-5356,ORD-12850,2024-12-02,Item Not as Described
RET-5357,ORD-15028,2024-05-15,Late Delivery
RET-5358,ORD-14030,2024-05-11,Wrong Size / Fit
RET-5359,ORD-13097,2024-08-12,Late Delivery
RET-5360,ORD-12257,2024-12-30,Late Delivery
RET-5361,ORD-11862,2024-06-20,Item Not as Described
RET-5362,ORD-12371,2025-02-10,Late Delivery
RET-5363,ORD-12658,2024-06-22,Wrong Size / Fit
RET-5364,ORD-11939,2025-04-07,Defective Item
RET-5365,ORD-13154,2024-12-22,Changed Mind
RET-5366,ORD-12425,2024-04-17,Changed Mind
RET-5367,ORD-15120,2025-08-15,Wrong Size / Fit
RET-5368,ORD-14677,2025-03-19,Item Not as Described
RET-5369,ORD-13238,2024-05-06,Changed Mind
RET-5370,ORD-10825,2024-12-12,Item Not as Described
RET-5371,ORD-10506,2025-01-13,Item Not as Described
RET-5372,ORD-14027,2024-08-17,Defective Item
RET-5373,ORD-14126,2024-01-14,Late Delivery
RET-5374,ORD-14748,2025-10-05,Late Delivery
RET-5375,ORD-15008,2024-05-18,Item Not as Described
RET-5376,ORD-14807,2025-08-04,Wrong Size / Fit
RET-5377,ORD-13674,2024-10-19,Wrong Size / Fit
RET-5378,ORD-13771,2024-07-17,Changed Mind
RET-5379,ORD-11170,2026-01-02,Changed Mind
RET-5380,ORD-11228,2025-04-07,Changed Mind
RET-5381,ORD-11321,2025-11-27,Wrong Size / Fit
RET-5382,ORD-11162,2025-07-17,Defective Item
RET-5383,ORD-13547,2024-02-17,Wrong Size / Fit
RET-5384,ORD-12541,2024-12-03,Defective Item
RET-5385,ORD-10695,2024-04-21,Wrong Size / Fit
RET-5386,ORD-12676,2025-05-15,Late Delivery
RET-5387,ORD-11998,2025-08-04,Item Not as Described
RET-5388,ORD-11957,2025-07-24,Item Not as Described
RET-5389,ORD-10281,2024-09-10,Defective Item
RET-5390,ORD-10086,2024-05-28,Item Not as Described
RET-5391,ORD-11214,2024-07-19,Wrong Size / Fit
RET-5392,ORD-14104,2025-01-16,Item Not as Described
RET-5393,ORD-10092,2024-06-22,Item Not as Described
RET-5394,ORD-11116,2025-11-07,Item Not as Described
RET-5395,ORD-13802,2025-11-20,Late Delivery
RET-5396,ORD-13004,2024-08-01,Wrong Size / Fit
RET-5397,ORD-10493,2025-12-24,Changed Mind
RET-5398,ORD-13935,2025-01-30,Wrong Size / Fit
RET-5399,ORD-13466,2025-05-11,Wrong Size / Fit
RET-5400,ORD-15062,2025-07-13,Wrong Size / Fit
RET-5401,ORD-13610,2025-04-07,Item Not as Described
RET-5402,ORD-14658,2025-01-22,Defective Item
RET-5403,ORD-12008,2025-07-13,Wrong Size / Fit
RET-5404,ORD-14440,2025-10-05,Wrong Size / Fit
RET-5405,ORD-10320,2024-05-05,Wrong Size / Fit
RET-5406,ORD-12637,2024-05-12,Item Not as Described
RET-5407,ORD-10890,2024-04-06,Changed Mind
RET-5408,ORD-12081,2024-10-14,Item Not as Described
RET-5409,ORD-12963,2025-08-24,Changed Mind
RET-5410,ORD-11984,2025-04-30,Changed Mind
RET-5411,ORD-14581,2025-02-23,Late Delivery
RET-5412,ORD-13119,2025-08-28,Late Delivery
RET-5413,ORD-10081,2024-07-08,Wrong Size / Fit
RET-5414,ORD-10962,2024-09-20,Changed Mind
RET-5415,ORD-13593,2025-02-12,Item Not as Described
RET-5416,ORD-14259,2025-11-03,Item Not as Described
RET-5417,ORD-10579,2024-09-13,Defective Item
RET-5418,ORD-11273,2025-11-09,Late Delivery
RET-5419,ORD-10310,2025-06-30,Defective Item
RET-5420,ORD-14114,2024-06-22,Wrong Size / Fit
RET-5421,ORD-12827,2025-11-15,Wrong Size / Fit
RET-5422,ORD-10053,2024-07-08,Defective Item
RET-5423,ORD-10450,2025-08-23,Wrong Size / Fit
RET-5424,ORD-10208,2024-10-04,Late Delivery
RET-5425,ORD-13327,2025-09-16,Item Not as Described
RET-5426,ORD-15065,2024-07-12,Wrong Size / Fit
RET-5427,ORD-15113,2024-05-01,Changed Mind
RET-5428,ORD-10665,2026-01-18,Late Delivery
RET-5429,ORD-12877,2024-12-19,Wrong Size / Fit
RET-5430,ORD-13025,2025-09-19,Wrong Size / Fit
RET-5431,ORD-14375,2024-04-06,Item Not as Described
RET-5432,ORD-12864,2024-09-07,Defective Item
RET-5433,ORD-11808,2024-07-28,Wrong Size / Fit
RET-5434,ORD-14843,2025-01-28,Changed Mind
RET-5435,ORD-11288,2025-07-23,Wrong Size / Fit
RET-5436,ORD-11180,2025-10-08,Wrong Size / Fit
RET-5437,ORD-12133,2025-04-04,Item Not as Described
RET-5438,ORD-12114,2024-03-31,Item Not as Described
RET-5439,ORD-12634,2025-04-26,Changed Mind
RET-5440,ORD-12943,2025-07-02,Item Not as Described
RET-5441,ORD-13603,2025-11-26,Defective Item
RET-5442,ORD-12800,2024-11-10,Item Not as Described
RET-5443,ORD-11504,2025-07-28,Late Delivery
RET-5444,ORD-11750,2024-11-19,Changed Mind
RET-5445,ORD-11494,2024-11-15,Changed Mind
RET-5446,ORD-11045,2024-04-08,Late Delivery
RET-5447,ORD-10789,2025-01-16,Defective Item
RET-5448,ORD-12510,2024-01-17,Defective Item
RET-5449,ORD-14428,2024-10-08,Item Not as Described
RET-5450,ORD-15091,2024-07-24,Defective Item
RET-5451,ORD-12555,2025-12-07,Wrong Size / Fit
RET-5452,ORD-10690,2024-06-16,Late Delivery
RET-5453,ORD-11563,2025-06-13,Wrong Size / Fit
RET-5454,ORD-14731,2025-01-13,Wrong Size / Fit
RET-5455,ORD-14754,2024-11-24,Changed Mind
RET-5456,ORD-13088,2024-11-09,Item Not as Described
RET-5457,ORD-10702,2024-12-16,Item Not as Described
RET-5458,ORD-13695,2024-01-21,Late Delivery
RET-5459,ORD-13323,2025-01-21,Defective Item
RET-5460,ORD-14963,2025-04-12,Wrong Size / Fit
RET-5461,ORD-11642,2025-07-28,Changed Mind
RET-5462,ORD-10427,2025-05-16,Wrong Size / Fit
RET-5463,ORD-11969,2024-06-30,Defective Item
RET-5464,ORD-14559,2025-11-17,Changed Mind
RET-5465,ORD-10651,2025-08-16,Late Delivery
RET-5466,ORD-12618,2024-08-09,Wrong Size / Fit
RET-5467,ORD-14830,2025-05-22,Wrong Size / Fit
RET-5468,ORD-12703,2024-08-25,Late Delivery
RET-5469,ORD-14858,2025-10-12,Item Not as Described
RET-5470,ORD-10343,2024-12-28,Item Not as Described
RET-5471,ORD-13979,2025-08-20,Wrong Size / Fit
RET-5472,ORD-10109,2024-07-18,Late Delivery
RET-5473,ORD-12887,2025-06-30,Changed Mind
RET-5474,ORD-13597,2024-06-01,Wrong Size / Fit
RET-5475,ORD-14946,2025-12-05,Changed Mind
RET-5476,ORD-13053,2024-04-30,Wrong Size / Fit
RET-5477,ORD-10536,2024-11-12,Item Not as Described
RET-5478,ORD-10107,2024-03-01,Item Not as Described
RET-5479,ORD-13564,2025-02-10,Late Delivery
RET-5480,ORD-11722,2024-04-27,Defective Item
