order_id,order_date,customer_id,product_id,quantity,discount,payment_method,shipping_cost
ORD-10028,2025-07-10,CUST-1866,PROD-44,3,0.2,Debit Card,5.52
ORD-10029,2025-08-16,CUST-1141,PROD-34,4,0.1,Debit Card,18.72
ORD-10030,2024-06-15,CUST-1227,PROD-13,5,0.15,,17.53
ORD-10031,2025-12-30,CUST-1117,PROD-27,1,0.0,PayPal,18.76
ORD-10032,2025-05-06,CUST-1143,PROD-29,5,0.15,Debit Card,6.75
ORD-10033,2024-11-07,CUST-1228,PROD-09,2,0.2,PayPal,8.91
ORD-10034,2024-08-02,CUST-1708,PROD-49,1,0.0,Store Credit,16.11
ORD-10035,2024-02-13,CUST-1676,PROD-33,4,0.0,Debit Card,4.68
ORD-10036,2024-11-04,CUST-1802,PROD-08,2,0.15,PayPal,6.95
ORD-10037,2024-12-25,CUST-1765,PROD-18,3,0.05,PayPal,17.67
ORD-10038,2025-09-19,CUST-1102,PROD-38,5,0.0,PayPal,19.42
ORD-10039,24-06-2024,CUST-1997,PROD-47,2,0.15,Store Credit,9.85
ORD-10040,2025-08-26,CUST-1110,PROD-12,4,0.1,PayPal,12.22
ORD-10041,2025-02-21,CUST-9999,PROD-08,5,0.0,Store Credit,16.19
ORD-10042,2025-12-22,CUST-1085,PROD-21,4,0.05,Store Credit,13.6
ORD-10043,2024-11-15,CUST-1232,PROD-36,4,0.0,Credit Card,18.31
ORD-10044,02-05-2025,CUST-1014,PROD-44,1,0.1,Store Credit,12.35
ORD-10045,2025-11-23,CUST-1411,PROD-45,1,0.2,PayPal,5.03
ORD-10046,2024-07-22,CUST-1414,PROD-08,4,0.2,Store Credit,8.45
ORD-10047,2025-08-18,CUST-1821,PROD-42,3,0.1,,19.19
ORD-10048,2025-05-11,CUST-1466,PROD-07,4,0.1,PayPal,14.04
ORD-10049,2024-05-17,CUST-1851,PROD-05,1,0.0,Store Credit,13.66
ORD-10050,2024-11-30,CUST-1099,PROD-49,5,0.1,Store Credit,7.22
ORD-10051,2025-11-08,CUST-1556,PROD-22,5,0.15,Credit Card,19.23
ORD-10052,02-02-2024,CUST-1122,PROD-25,4,0.1,Store Credit,4.57
ORD-10053,2024-06-30,CUST-1311,PROD-46,4,0.0,Debit Card,15.44
ORD-10054,05/14/2025,CUST-1503,PROD-43,5,0.15,Store Credit,11.6
ORD-10055,2024-06-09,CUST-1507,PROD-38,5,0.2,Debit Card,16.25
ORD-10056,2024-10-18,CUST-1047,PROD-09,3,0.2,,4.42
ORD-10057,2025-10-02,CUST-1354,PROD-23,1,0.2,PayPal,7.95
ORD-10058,2025-10-25,CUST-1705,PROD-05,1,0.05,PayPal,4.31
ORD-10059,2024-11-29,CUST-1433,PROD-37,4,0.05,Credit Card,15.13
ORD-10060,2025-08-25,CUST-1585,PROD-25,1,0.1,Credit Card,15.04
ORD-10061,2024-07-29,CUST-1784,PROD-43,5,0.05,Debit Card,19.5
ORD-10062,2024-07-25,CUST-1807,PROD-05,5,0.0,Debit Card,8.23
ORD-10063,31-10-2024,CUST-1232,PROD-40,1,0.2,,5.51
ORD-10064,2024-12-10,CUST-1544,PROD-31,3,0.0,Debit Card,12.06
ORD-10065,2024-11-03,CUST-1205,PROD-27,5,0.15,Store Credit,14.73
ORD-10066,2025-07-14,CUST-1721,PROD-34,5,0.1,PayPal,14.56
ORD-10067,2025-04-23,CUST-1829,PROD-40,4,0.15,Credit Card,12.35
ORD-10068,2025-01-08,CUST-1765,PROD-44,4,0.1,Debit Card,17.75
ORD-10069,2024-03-06,CUST-1274,PROD-19,3,0.2,,7.77
ORD-10070,2024-09-01,CUST-1252,PROD-20,5,0.1,Store Credit,14.34
ORD-10071,2024-02-07,CUST-1030,PROD-17,3,0.2,,6.81
ORD-10072,13-02-2024,CUST-1021,PROD-04,1,0.05,,8.76
ORD-10073,06-03-2024,CUST-1373,PROD-43,1,0.1,PayPal,7.77
ORD-10074,08/07/2025,CUST-1535,PROD-43,5,0.05,Store Credit,18.14
ORD-10075,2024-08-31,CUST-1321,PROD-22,4,0.2,PayPal,18.96
ORD-10076,2024-08-11,CUST-1994,PROD-18,3,0.15,Credit Card,11.84
ORD-10077,2025-01-18,CUST-1559,PROD-28,2,0.05,PayPal,9.8
ORD-10078,01/11/2025,CUST-1991,PROD-39,1,0.2,PayPal,8.04
ORD-10079,2025-01-28,CUST-1372,PROD-44,2,0.1,Store Credit,4.12
ORD-10080,06-02-2025,CUST-1309,PROD-06,2,0.05,PayPal,17.74
ORD-10081,13-06-2024,CUST-1901,PROD-50,1,0.05,Credit Card,17.16
ORD-10082,2025-05-18,CUST-1862,PROD-22,1,0.0,Debit Card,12.09
ORD-10083,2024-12-26,CUST-1561,PROD-48,1,0.0,PayPal,14.07
ORD-10084,2025-10-18,CUST-1644,PROD-20,1,0.0,PayPal,7.98
ORD-10085,10/26/2025,CUST-1703,PROD-27,3,0.1,Store Credit,17.97
ORD-10086,2024-05-16,CUST-1847,PROD-21,2,0.0,Store Credit,9.87
ORD-10087,02/06/2025,CUST-1906,PROD-37,1,0.15,,14.02
ORD-10088,01-04-2024,CUST-1719,PROD-11,5,0.1,,8.15
ORD-10089,01-04-2024,CUST-1581,PROD-08,500,0.15,Store Credit,16.36
ORD-10090,04/09/2025,CUST-1230,PROD-46,3,0.05,Store Credit,10.1
ORD-10091,03/17/2025,CUST-1844,PROD-19,2,0.1,PayPal,10.53
ORD-10092,2024-05-29,,PROD-16,2,0.05,,14.94
ORD-10093,2025-04-14,CUST-1893,PROD-21,4,0.2,PayPal,15.4
ORD-10094,2025-12-26,CUST-1075,PROD-07,1,0.05,PayPal,11.52
ORD-10095,28-12-2024,CUST-1991,PROD-39,1,0.0,Debit Card,12.06
ORD-10096,2025-01-25,CUST-1380,PROD-09,5,0.0,,6.86
ORD-10097,2024-06-22,CUST-1899,PROD-30,3,0.2,,10.92
ORD-10098,2024-09-23,CUST-1131,PROD-32,3,0.2,Debit Card,18.81
ORD-10099,16-10-2024,CUST-1850,PROD-49,5,0.05,Store Credit,18.27
ORD-10100,11/19/2024,CUST-1973,PROD-10,4,0.0,PayPal,6.37
ORD-10101,2024-08-23,CUST-1168,PROD-46,1,0.1,Credit Card,11.05
ORD-10102,2025-12-27,CUST-1116,PROD-47,1,0.05,Credit Card,7.25
ORD-10103,2024-10-17,CUST-1521,PROD-18,5,0.0,,19.96
ORD-10104,2024-01-05,CUST-1427,PROD-05,4,0.2,Credit Card,18.19
ORD-10105,2024-01-27,CUST-9999,PROD-08,5,0.0,Debit Card,6.45
ORD-10106,2024-03-24,CUST-1492,PROD-30,3,0.15,Credit Card,9.26
ORD-10107,2024-02-14,CUST-1333,PROD-47,5,0.0,PayPal,17.8
ORD-10108,2025-10-21,CUST-1762,PROD-05,5,0.1,Credit Card,10.37
ORD-10109,2024-07-01,CUST-1409,PROD-06,2,0.0,Store Credit,16.46
ORD-10110,2024-10-18,CUST-1158,PROD-08,4,0.2,Debit Card,18.45
ORD-10111,2025-09-09,CUST-1853,PROD-24,4,0.1,Store Credit,11.61
ORD-10112,2025-07-30,CUST-1433,PROD-24,4,0.2,Store Credit,5.48
ORD-10113,2025-06-09,CUST-1230,PROD-42,2,0.1,,14.06
ORD-10114,2025-06-21,CUST-1082,PROD-31,2,0.2,Debit Card,17.45
ORD-10115,2025-06-19,CUST-1565,PROD-05,5,0.0,,10.79
ORD-10116,2024-04-06,CUST-1833,PROD-17,5,0.0,,4.25
ORD-10117,2025-11-08,CUST-1864,PROD-26,4,0.2,Debit Card,9.01
ORD-10118,04/10/2025,CUST-1828,PROD-17,2,0.0,PayPal,5.24
ORD-10119,2025-09-10,CUST-1445,PROD-35,4,0.0,Credit Card,6.74
ORD-10120,2025-05-03,CUST-1674,PROD-48,4,0.05,,17.0
ORD-10121,2025-09-23,CUST-1707,PROD-44,3,0.0,PayPal,6.15
ORD-10122,2024-07-14,CUST-1994,PROD-13,2,0.1,PayPal,14.39
ORD-10123,03/22/2025,CUST-1552,PROD-13,4,0.0,Store Credit,10.74
ORD-10124,2024-04-29,CUST-1720,PROD-29,4,0.0,Store Credit,13.35
ORD-10125,2024-07-25,CUST-1402,PROD-04,1,0.2,Store Credit,19.66
ORD-10126,05/22/2025,CUST-1568,PROD-19,4,0.1,,13.45
ORD-10127,18-09-2025,CUST-1889,PROD-32,1,0.15,Credit Card,10.74
ORD-10128,2024-11-19,CUST-1664,PROD-27,1,0.1,,19.01
ORD-10129,2024-12-21,CUST-1166,PROD-19,4,0.05,Store Credit,7.7
ORD-10130,2024-08-12,CUST-1944,PROD-39,4,0.0,Debit Card,15.56
ORD-10131,03-02-2025,CUST-1690,PROD-42,4,0.0,,7.31
ORD-10132,12/08/2025,CUST-1133,PROD-12,5,0.1,Credit Card,16.69
ORD-10133,2025-05-20,CUST-1049,PROD-02,3,0.05,PayPal,6.79
ORD-10134,2025-05-30,CUST-1441,PROD-08,1,0.15,PayPal,11.77
ORD-10135,12/14/2024,CUST-1789,PROD-36,2,0.2,,13.66
ORD-10136,04/16/2024,CUST-1449,PROD-30,1,0.0,,13.74
ORD-10137,04/14/2024,CUST-1108,PROD-11,2,0.05,PayPal,15.64
ORD-10138,2025-12-26,CUST-1751,PROD-07,3,0.05,PayPal,5.96
ORD-10139,2024-07-25,CUST-1788,PROD-01,4,0.05,Debit Card,12.07
ORD-10140,2024-03-28,CUST-1425,PROD-24,2,0.0,,10.74
ORD-10141,2024-08-21,CUST-1941,PROD-27,5,0.2,Debit Card,19.09
ORD-10142,2025-03-29,CUST-1826,PROD-34,1,0.05,Debit Card,10.42
ORD-10143,2024-06-17,CUST-1038,PROD-43,2,0.15,Credit Card,19.63
ORD-10144,11/07/2025,,PROD-27,5,0.05,Debit Card,18.54
ORD-10145,01/09/2024,CUST-1626,PROD-10,4,0.2,PayPal,18.19
ORD-10146,10/01/2025,CUST-1715,PROD-23,4,0.0,Debit Card,5.34
ORD-10147,2025-07-04,CUST-1758,PROD-09,5,0.05,PayPal,5.48
ORD-10148,2025-07-19,CUST-1651,PROD-11,5,0.15,Debit Card,7.85
ORD-10149,11/07/2024,CUST-9999,PROD-08,3,0.05,,9.66
ORD-10150,02/18/2024,CUST-1460,PROD-20,1,0.1,Debit Card,19.72
ORD-10151,2025-08-18,CUST-1643,PROD-43,5,0.0,Debit Card,8.78
ORD-10152,11/13/2025,CUST-1689,PROD-09,5,0.2,PayPal,5.67
ORD-10153,2025-06-12,CUST-1370,PROD-30,4,0.1,Credit Card,5.47
ORD-10154,11-03-2025,CUST-1457,PROD-05,5,0.1,,12.93
ORD-10155,02/08/2025,CUST-1652,PROD-28,4,0.2,Store Credit,17.17
ORD-10156,2024-05-27,CUST-1469,PROD-09,5,0.15,Credit Card,15.1
ORD-10157,2025-04-11,CUST-1967,PROD-36,1,0.15,Store Credit,5.76
ORD-10158,2025-01-13,CUST-1157,PROD-08,3,0.05,Debit Card,11.76
ORD-10159,2024-05-26,CUST-1050,PROD-20,2,0.0,Store Credit,4.02
ORD-10160,2025-07-14,CUST-1428,PROD-31,5,0.1,Debit Card,16.49
ORD-10161,05/01/2025,CUST-1136,PROD-49,4,0.1,Store Credit,6.37
ORD-10162,2024-11-29,CUST-1639,PROD-27,4,0.05,,4.72
ORD-10163,17-11-2025,CUST-1662,PROD-06,1,0.15,Debit Card,12.97
ORD-10164,2024-05-06,CUST-1979,PROD-40,1,0.15,,7.02
ORD-10165,2025-05-02,CUST-1675,PROD-35,1,0.05,PayPal,7.91
ORD-10166,12/23/2025,CUST-1087,PROD-35,4,0.15,Credit Card,11.85
ORD-10167,2024-01-24,CUST-1025,PROD-34,3,0.0,Credit Card,19.67
ORD-10168,2025-07-08,CUST-1262,PROD-50,3,0.1,PayPal,4.93
ORD-10169,2024-11-29,CUST-1306,PROD-25,2,0.1,Debit Card,8.12
ORD-10170,2024-05-03,CUST-1612,PROD-38,5,0.15,Store Credit,19.18
ORD-10171,2024-10-02,CUST-1417,PROD-05,4,0.2,PayPal,18.61
ORD-10172,2024-01-20,,PROD-44,5,0.2,PayPal,8.86
ORD-10173,2025-02-20,CUST-1513,PROD-14,2,0.05,,19.75
ORD-10174,2024-09-08,CUST-1934,PROD-36,1,0.1,,8.62
ORD-10175,2024-06-20,CUST-1494,PROD-18,4,0.05,PayPal,13.35
ORD-10176,2025-06-06,CUST-1547,PROD-37,1,0.1,Credit Card,17.28
ORD-10177,23-07-2025,CUST-1216,PROD-40,3,0.2,Debit Card,14.15
ORD-10178,2025-12-25,CUST-1330,PROD-22,5,0.05,Credit Card,18.61
ORD-10179,2024-05-16,CUST-1488,PROD-01,2,0.1,,18.31
ORD-10180,2025-12-21,CUST-1084,PROD-42,5,0.0,Store Credit,14.75
ORD-10181,27-12-2024,CUST-1616,PROD-23,1,0.0,Store Credit,9.92
ORD-10182,2024-07-16,CUST-1021,PROD-49,3,0.0,Credit Card,17.05
ORD-10183,2025-10-02,CUST-1240,PROD-32,1,0.05,Store Credit,18.46
ORD-10184,2025-12-24,CUST-1841,PROD-41,3,0.15,,11.89
ORD-10185,2025-07-19,CUST-1689,PROD-44,2,0.0,,6.04
ORD-10186,2024-03-07,CUST-1877,PROD-15,3,0.0,Credit Card,19.86
ORD-10187,2025-12-10,CUST-1698,PROD-36,1,0.1,Credit Card,17.65
ORD-10188,2024-11-26,CUST-9999,PROD-18,5,0.1,Store Credit,9.77
ORD-10189,14-02-2024,CUST-1285,PROD-27,3,0.0,Store Credit,7.1
ORD-10190,24-03-2024,CUST-1756,PROD-15,4,0.0,PayPal,7.14
ORD-10191,2024-12-03,CUST-1100,PROD-02,1,0.15,Debit Card,17.44
ORD-10192,2024-09-10,CUST-1349,PROD-04,5,0.0,Credit Card,16.4
ORD-10193,2025-09-26,CUST-1458,PROD-38,1,0.0,Store Credit,9.0
ORD-10194,2025-12-11,CUST-1942,PROD-29,5,0.2,Store Credit,5.04
ORD-10195,2025-11-24,CUST-1871,PROD-25,5,0.1,PayPal,17.82
ORD-10196,2025-11-06,CUST-1476,PROD-28,5,0.0,Debit Card,14.4
ORD-10197,11/22/2025,CUST-1337,PROD-38,1,0.0,,15.4
ORD-10198,08/30/2025,CUST-1587,PROD-09,3,0.05,Store Credit,11.69
ORD-10199,2025-09-27,CUST-1817,PROD-03,3,0.15,Store Credit,12.2
ORD-10200,10/29/2025,CUST-1907,PROD-35,2,0.1,Debit Card,13.64
ORD-10201,2024-10-25,CUST-1601,PROD-43,1,0.0,,17.1
ORD-10202,07/26/2025,CUST-1201,PROD-13,2,0.0,Debit Card,7.02
ORD-10203,2025-05-02,CUST-9999,PROD-39,5,0.15,Debit Card,13.85
ORD-10204,2025-03-04,CUST-1898,PROD-03,1,0.2,PayPal,15.08
ORD-10205,2025-04-22,CUST-1753,PROD-50,3,0.2,Store Credit,7.28
ORD-10206,07/07/2024,CUST-1011,PROD-05,5,0.0,PayPal,8.64
ORD-10207,2024-07-18,CUST-1369,PROD-03,2,0.0,Debit Card,6.78
ORD-10208,09/25/2024,CUST-1568,PROD-16,1,0.0,Debit Card,18.56
ORD-10209,01/22/2024,CUST-1671,PROD-08,2,0.05,Store Credit,7.83
ORD-10210,2025-01-16,CUST-1819,PROD-40,1,0.0,PayPal,18.11
ORD-10211,05/13/2024,CUST-1388,PROD-45,5,0.1,PayPal,18.73
ORD-10212,2025-09-22,CUST-1302,PROD-10,1,0.2,Debit Card,17.96
ORD-10213,04-06-2025,CUST-1215,PROD-47,4,0.2,,5.03
ORD-10214,2025-06-04,CUST-1770,PROD-33,5,0.1,PayPal,9.14
ORD-10215,2025-01-17,CUST-1979,PROD-32,5,0.1,,14.39
ORD-10216,2024-07-31,CUST-1884,PROD-16,3,0.1,Store Credit,13.13
ORD-10217,2025-01-18,CUST-1770,PROD-06,5,0.05,PayPal,13.33
ORD-10218,2025-04-21,CUST-1462,PROD-30,3,0.1,Debit Card,8.36
ORD-10219,2024-01-26,CUST-1661,PROD-05,1,0.05,,12.19
ORD-10220,2025-10-21,CUST-1234,PROD-07,3,0.0,,7.19
ORD-10221,2024-07-20,CUST-1764,PROD-50,3,0.0,,19.96
ORD-10222,10-07-2025,CUST-1307,PROD-19,4,0.1,,16.11
ORD-10223,2024-01-13,CUST-1780,PROD-10,2,0.0,PayPal,11.58
ORD-10224,2025-06-12,CUST-1480,PROD-47,3,0.0,Debit Card,17.52
ORD-10225,03/15/2025,CUST-1215,PROD-29,5,0.0,Debit Card,6.21
ORD-10226,2024-05-11,CUST-1512,PROD-43,3,0.0,Store Credit,10.8
ORD-10227,02/17/2025,CUST-1307,PROD-21,5,0.0,PayPal,6.45
ORD-10228,2024-12-04,CUST-1936,PROD-39,4,0.1,PayPal,19.17
ORD-10229,2024-03-06,CUST-1112,PROD-22,4,0.2,Debit Card,5.48
ORD-10230,2024-04-16,CUST-1847,PROD-45,1,0.0,PayPal,5.1
ORD-10231,2025-01-30,CUST-1676,PROD-34,1,0.05,,4.17
ORD-10232,11/30/2024,CUST-1161,PROD-08,4,0.1,Credit Card,10.21
ORD-10233,2024-07-30,CUST-1443,PROD-46,2,0.15,,19.02
ORD-10234,2025-08-24,CUST-1470,PROD-18,2,0.1,Credit Card,17.18
ORD-10235,09/11/2025,CUST-1933,PROD-37,4,0.1,,4.62
ORD-10236,2024-04-03,CUST-1468,PROD-23,3,0.1,,17.16
ORD-10237,2024-06-28,CUST-1633,PROD-47,4,0.2,PayPal,15.17
ORD-10238,2024-04-07,CUST-1246,PROD-11,5,0.05,Credit Card,15.16
ORD-10239,10-08-2024,CUST-1781,PROD-36,3,0.0,Credit Card,12.06
ORD-10240,2024-11-29,CUST-1213,PROD-33,1,0.0,Store Credit,10.09
ORD-10241,02/12/2025,CUST-1011,PROD-17,2,0.05,Store Credit,11.75
ORD-10242,2024-03-10,CUST-1731,PROD-29,3,0.0,PayPal,17.41
ORD-10243,2025-09-13,CUST-1548,PROD-48,1,0.2,Credit Card,14.83
ORD-10244,2024-06-06,CUST-1732,PROD-03,5,0.0,Store Credit,15.14
ORD-10245,10/12/2025,CUST-1734,PROD-43,4,0.2,Debit Card,11.09
ORD-10246,2025-09-04,CUST-1786,PROD-13,3,0.0,PayPal,5.45
ORD-10247,2025-03-07,CUST-1841,PROD-13,1,0.0,Credit Card,16.74
ORD-10248,2025-11-11,CUST-1426,PROD-33,3,0.05,,14.02
ORD-10249,2025-10-01,CUST-1962,PROD-28,2,0.0,Debit Card,9.16
ORD-10250,2024-01-16,CUST-1399,PROD-14,1,0.2,Debit Card,14.39
ORD-10251,2025-01-12,CUST-1421,PROD-20,4,0.0,,16.65
ORD-10252,2025-08-05,CUST-1615,PROD-21,4,0.2,PayPal,9.3
ORD-10253,10/12/2025,CUST-1872,PROD-43,3,0.0,,18.58
ORD-10254,2025-04-04,CUST-1239,PROD-33,1,0.0,Credit Card,13.85
ORD-10255,2024-05-07,CUST-1776,PROD-16,1,0.0,Debit Card,11.97
ORD-10256,2024-07-25,CUST-1039,PROD-16,5,0.1,Debit Card,6.14
ORD-10257,2024-11-21,CUST-1534,PROD-27,3,0.0,PayPal,17.54
ORD-10258,2024-12-05,CUST-1056,PROD-43,2,0.15,Store Credit,12.33
ORD-10259,2024-07-06,CUST-1891,PROD-32,2,0.0,PayPal,19.0
ORD-10260,2024-05-08,CUST-1852,PROD-14,1,0.1,Store Credit,8.97
ORD-10261,2024-07-21,CUST-1255,PROD-20,4,0.2,PayPal,8.34
ORD-10262,2025-05-07,,PROD-26,4,0.1,Store Credit,12.07
ORD-10263,03/19/2025,CUST-1813,PROD-31,4,0.1,Credit Card,16.13
ORD-10264,2024-11-03,CUST-1745,PROD-12,4,0.05,Store Credit,8.52
ORD-10265,2025-07-29,CUST-1140,PROD-46,2,0.0,Credit Card,4.2
ORD-10266,05/27/2025,CUST-1415,PROD-27,3,0.1,Store Credit,8.91
ORD-10267,2025-08-25,CUST-1944,PROD-08,5,0.0,PayPal,16.2
ORD-10268,09/18/2024,CUST-1357,PROD-33,3,0.2,Credit Card,14.4
ORD-10269,03/10/2025,CUST-1036,PROD-24,1,0.2,PayPal,8.17
ORD-10270,11-04-2025,CUST-1254,PROD-39,2,0.0,Credit Card,16.33
ORD-10271,10/21/2025,CUST-1724,PROD-38,1,0.15,PayPal,18.01
ORD-10272,06/18/2024,CUST-1310,PROD-33,4,0.15,Debit Card,15.73
ORD-10273,2024-04-01,CUST-1817,PROD-23,3,0.2,PayPal,18.87
ORD-10274,2025-02-11,CUST-1173,PROD-32,-2,0.0,Store Credit,12.39
ORD-10275,2025-11-01,CUST-1181,PROD-24,2,0.0,Store Credit,6.9
ORD-10276,2024-04-22,CUST-1191,PROD-13,2,0.0,Debit Card,19.72
ORD-10277,2025-02-22,CUST-1112,PROD-41,3,0.0,Store Credit,5.98
ORD-10278,2024-03-06,CUST-1490,PROD-32,1,0.0,Credit Card,8.25
ORD-10279,2024-01-08,CUST-1043,PROD-07,1,0.1,,12.31
ORD-10280,29-09-2024,CUST-1346,PROD-39,3,0.2,Debit Card,19.98
ORD-10281,02-09-2024,CUST-1388,PROD-40,3,0.05,Credit Card,4.04
ORD-10282,2025-12-16,CUST-1948,PROD-09,1,0.15,Debit Card,19.21
ORD-10283,2024-09-11,CUST-1675,PROD-31,2,0.0,Debit Card,4.26
ORD-10284,01/03/2025,,PROD-48,4,0.0,,11.74
ORD-10285,09/19/2025,CUST-1962,PROD-31,1,0.2,Store Credit,8.69
ORD-10286,07/18/2024,CUST-1898,PROD-37,5,0.0,PayPal,11.96
ORD-10287,2024-03-30,CUST-1562,PROD-30,4,0.0,Store Credit,14.59
ORD-10288,2024-09-03,CUST-1967,PROD-43,1,0.1,Credit Card,6.55
ORD-10289,30-11-2024,CUST-1226,PROD-47,4,0.2,Credit Card,14.64
ORD-10290,2025-07-01,CUST-1815,PROD-45,2,0.15,,5.02
ORD-10291,2024-12-17,CUST-1754,PROD-47,5,0.1,PayPal,7.57
ORD-10292,2024-04-28,CUST-1349,PROD-48,2,0.2,Credit Card,13.16
ORD-10293,05/10/2024,CUST-1591,PROD-48,-2,0.0,,12.56
ORD-10294,01-02-2025,CUST-1374,PROD-44,2,0.15,,13.44
ORD-10295,2024-04-19,CUST-1472,PROD-21,3,0.0,Store Credit,14.87
ORD-10296,2024-05-30,CUST-1682,PROD-45,3,0.05,,19.84
ORD-10297,2024-05-06,CUST-1588,PROD-31,2,0.1,Debit Card,15.26
ORD-10298,2025-01-20,CUST-1157,PROD-46,2,0.2,Credit Card,18.76
ORD-10299,07/02/2024,CUST-1307,PROD-43,2,0.0,,10.27
ORD-10300,2025-03-08,CUST-9999,PROD-49,1,0.15,Debit Card,8.51
ORD-10301,07/18/2024,CUST-1100,PROD-09,5,0.0,Debit Card,11.31
ORD-10302,2024-06-16,CUST-1495,PROD-19,2,0.0,PayPal,15.76
ORD-10303,2024-01-10,CUST-1105,PROD-44,2,0.1,Store Credit,14.86
ORD-10304,21-06-2024,CUST-1998,PROD-31,1,0.0,,14.39
ORD-10305,2025-08-30,CUST-1740,PROD-26,1,0.0,Store Credit,11.81
ORD-10306,2025-12-05,CUST-1764,PROD-25,1,0.1,Store Credit,8.39
ORD-10307,2025-10-30,CUST-1120,PROD-06,5,0.0,Credit Card,13.38
ORD-10308,2025-08-09,CUST-1097,PROD-38,4,0.2,Store Credit,8.76
ORD-10309,2024-05-08,CUST-1931,PROD-35,1,0.1,,17.07
ORD-10310,2025-06-26,CUST-1599,PROD-35,1,0.0,Credit Card,6.88
ORD-10311,2025-09-05,CUST-1458,PROD-21,2,0.15,PayPal,14.43
ORD-10312,2024-03-30,CUST-1036,PROD-06,5,0.05,Debit Card,19.45
ORD-10313,2024-06-24,CUST-1001,PROD-16,5,0.05,,11.11
ORD-10314,2025-08-13,CUST-1933,PROD-23,5,0.0,Credit Card,14.59
ORD-10315,2024-02-15,CUST-1307,PROD-14,5,0.15,PayPal,13.46
ORD-10316,2024-10-11,CUST-1077,PROD-36,4,0.2,PayPal,10.39
ORD-10317,26-03-2024,CUST-1963,PROD-45,2,0.0,Debit Card,19.92
ORD-10318,2025-12-14,CUST-1578,PROD-43,5,0.15,PayPal,10.7
ORD-10319,2024-06-06,CUST-1389,PROD-02,2,0.0,Debit Card,5.98
ORD-10320,2024-04-22,CUST-1338,PROD-41,3,0.05,PayPal,17.89
ORD-10321,2024-08-19,CUST-1993,PROD-15,1,0.0,PayPal,12.41
ORD-10322,2024-11-09,CUST-1098,PROD-34,5,0.05,,8.33
ORD-10323,11-04-2024,CUST-1970,PROD-49,3,0.2,,12.82
ORD-10324,2025-02-16,CUST-1010,PROD-44,2,0.2,PayPal,6.27
ORD-10325,08/04/2025,CUST-1743,PROD-41,2,0.2,,10.68
ORD-10326,2025-04-13,CUST-9999,PROD-30,3,0.1,,19.06
ORD-10327,2024-08-22,CUST-1971,PROD-20,3,0.0,Credit Card,5.22
ORD-10328,02-09-2024,CUST-1059,PROD-06,5,0.1,Credit Card,19.38
ORD-10329,2025-03-10,CUST-1140,PROD-31,5,0.2,Credit Card,10.48
ORD-10330,2025-09-23,CUST-1008,PROD-46,5,0.2,Debit Card,7.9
ORD-10331,08-11-2025,CUST-1902,PROD-34,1,0.15,Store Credit,19.42
ORD-10332,21-11-2025,CUST-1926,PROD-15,3,0.0,,9.64
ORD-10333,2024-02-22,CUST-1383,PROD-08,2,0.15,Credit Card,8.63
ORD-10334,2025-05-09,CUST-1756,PROD-41,2,0.05,,17.2
